>>> Running tests for x32.release
Total: 3102 tests
 *  860 tests will be skipped
Done running mjsunit/strict-mode-eval: pass
Done running mjsunit/string-add: pass
Done running mjsunit/string-charat: pass
Done running mjsunit/string-compare-alignment: pass
Done running mjsunit/string-concat: pass
Done running mjsunit/string-flatten: pass
Done running mjsunit/string-indexof-2: pass
Done running mjsunit/string-lastindexof: pass
Done running mjsunit/string-localecompare: pass
Done running mjsunit/string-oom-concat: pass
Done running mjsunit/string-replace-gc: pass
Done running mjsunit/string-replace-one-char: pass
Done running mjsunit/string-search: pass
Done running mjsunit/string-split-cache: pass
Done running mjsunit/this-dynamic-lookup: pass
Done running mjsunit/this-in-callbacks: pass
Done running mjsunit/this-property-assignment: pass
Done running mjsunit/this: pass
Done running mjsunit/throw-and-catch-function: pass
Done running mjsunit/throw-exception-for-null-access: pass
Done running mjsunit/to-precision: pass
Done running mjsunit/tobool: pass
Done running mjsunit/toint32: pass
Done running mjsunit/top-level-assignments: pass
Done running mjsunit/touint32: pass
Done running mjsunit/transcendentals: pass
Done running mjsunit/try-catch-extension-object: pass
Done running mjsunit/try-catch-scopes: pass
Done running mjsunit/try-finally-continue: pass
Done running mjsunit/try-finally-nested: pass
Done running mjsunit/typeof: pass
Done running mjsunit/undeletable-functions: pass
Done running mjsunit/unicode-case-overoptimization: pass
Done running mjsunit/unicode-string-to-number: pass
Done running mjsunit/unicode-test: pass
Done running mjsunit/unicodelctest: pass
Done running mjsunit/unused-context-in-with: pass
Done running mjsunit/unusual-constructor: pass
Done running mjsunit/uri: pass
Done running mjsunit/value-callic-prototype-change: pass
Done running mjsunit/value-of: pass
Done running mjsunit/value-wrapper: pass
Done running mjsunit/var: pass
Done running mjsunit/whitespaces: pass
Done running mjsunit/with-function-expression: pass
Done running mjsunit/with-leave: pass
Done running mjsunit/with-parameter-access: pass
Done running mjsunit/with-prototype: pass
Done running mjsunit/with-readonly: pass
Done running mjsunit/with-value: pass
Done running mjsunit/bugs/bug-1344252: pass
Done running mjsunit/bugs/bug-222: pass
Done running mjsunit/bugs/bug-617: pass
Done running mjsunit/bugs/bug-941049: pass
Done running mjsunit/bugs/bug-proto: pass
Done running mjsunit/compiler/alloc-number: pass
Done running mjsunit/compiler/array-access: pass
Done running mjsunit/compiler/assignment: pass
Done running mjsunit/compiler/binary-ops: pass
Done running mjsunit/compiler/call-keyed: pass
Done running mjsunit/compiler/compare: pass
Done running mjsunit/compiler/complex-for-in: pass
Done running mjsunit/compiler/control-flow-0: pass
